gene	rep	sample	genome	alt_gene	total_hits	rpt_cov	freq	freq_floor	freq_floor_log	colr_1
MSH1	1	plastid	mito	MSH1	190	2321	0.081861267	0.081961267	-1.086391338	a
MSH1	2	plastid	mito	MSH1	199	2700	0.073703704	0.073803704	-1.131921843	a
MSH1	3	plastid	mito	MSH1	241	3844	0.062695109	0.062795109	-1.20207418	a
MSH1	3	plastid	mito	Wild	6	2340	0.002564103	0.002664103	-2.574449059	b
RadA	1	mito	mito	RadA	446	5882	0.075824549	0.075924549	-1.119617776	a
RadA	1	plastid	mito	RadA	137	2113	0.064836725	0.064936725	-1.187509618	a
RadA	1	plastid	mito	Wild	27	5615	0.004808549	0.004908549	-2.309046911	b
RadA	2	mito	mito	RadA	3	73	0.04109589	0.04119589	-1.385146106	a
RadA	3	mito	mito	RadA	101	1298	0.077812018	0.077912018	-1.108395544	a
RadA	3	mito	mito	Wild	3	994	0.003018109	0.003118109	-2.506108756	b
RadA	3	plastid	mito	RadA	178	2682	0.066368382	0.066468382	-1.177384894	a
RecA3	1	mito	mito	RecA3	203	8447	0.024032201	0.024132201	-1.61740307	a
RecA3	1	mito	mito	Wild	61	23226	0.002626367	0.002726367	-2.564415683	b
RecA3	2	mito	mito	RecA3	645	24824	0.02598292	0.02608292	-1.583643795	a
RecA3	3	mito	mito	RecA3	307	11022	0.027853384	0.027953384	-1.553565607	a
Why2	1	mito	mito	Why2	32	9803	0.003264307	0.003364307	-2.473104401	a
Why2	1	mito	mito	Wild	12	5359	0.002239224	0.002339224	-2.630928238	b
Why2	2	mito	mito	Why2	0	475	0	0.0019	-2.721246399	a
Why2	3	mito	mito	Why2	1	449	0.002227171	0.002327171	-2.633171612	a
MSH1	1	plastid	plastid	MSH1	5	11180	0.00044723	0.00054723	-3.261830102	a
MSH1	2	plastid	plastid	MSH1	4	12063	0.00033159	0.00043159	-3.364928627	a
MSH1	3	plastid	plastid	MSH1	13	20877	0.0006227	0.0007227	-3.141041945	a
MSH1	3	plastid	plastid	Wild	9	20036	0.00044919	0.00054919	-3.260277379	b
OSB2	1	plastid	plastid	OSB2	31	80639	0.00038443	0.00048443	-3.31476897	a
OSB2	2	plastid	plastid	OSB2	22	62022	0.00035471	0.00045471	-3.342265495	a
OSB2	3	plastid	plastid	OSB2	14	50912	0.00027498	0.00037498	-3.425991895	a
OSB2	3	plastid	plastid	Wild	16	49142	0.00032559	0.00042559	-3.371008585	b
RadA	1	plastid	plastid	RadA	24	48580	0.00049403	0.00059403	-3.226191622	a
RadA	3	plastid	plastid	RadA	41	100130	0.00040947	0.00050947	-3.292881384	a
RadA	1	plastid	plastid	Wild	19	47625	0.00039895	0.00049895	-3.301942973	b
RecA1	1	plastid	plastid	RecA1	15	20702	0.00072457	0.00082457	-3.08377247	a
RecA1	2	plastid	plastid	RecA1	4	23323	0.00017151	0.00027151	-3.56621417	a
RecA1	4	plastid	plastid	RecA1	7	26634	0.00026282	0.00036282	-3.440308781	a
RecA1	2	plastid	plastid	Wild	31	82603	0.00037529	0.00047529	-3.323041323	b
