sample	extraction	gene	timeline	genotype	rep	genome	region	cov	event_count	dcs_count	freq	freq_floor	freq_floor_log
mt_FpgOgg_wild_1	mt	FpgOgg	old	wild	1	mito	intergenic	31713494	5	5	1.58E-07	1.68E-07	-6.774690718
mt_FpgOgg_wild_1	mt	FpgOgg	old	wild	1	mito	CDS	2867424	2	2	6.97E-07	7.07E-07	-6.150580586
mt_FpgOgg_wild_1	mt	FpgOgg	old	wild	1	mito	intron	2492956	0	0	0	1.00E-08	-8
mt_FpgOgg_wild_1	mt	FpgOgg	old	wild	1	mito	tRNA	164255	0	0	0	1.00E-08	-8
mt_FpgOgg_wild_1	mt	FpgOgg	old	wild	1	mito	rRNA	622858	0	0	0	1.00E-08	-8
mt_FpgOgg_wild_2	mt	FpgOgg	old	wild	2	mito	intergenic	19807772	5	5	2.52E-07	2.62E-07	-6.581698709
mt_FpgOgg_wild_2	mt	FpgOgg	old	wild	2	mito	CDS	1755509	1	1	5.70E-07	5.80E-07	-6.236572006
mt_FpgOgg_wild_2	mt	FpgOgg	old	wild	2	mito	intron	1534271	0	0	0	1.00E-08	-8
mt_FpgOgg_wild_2	mt	FpgOgg	old	wild	2	mito	tRNA	108160	0	0	0	1.00E-08	-8
mt_FpgOgg_wild_2	mt	FpgOgg	old	wild	2	mito	rRNA	403866	0	0	0	1.00E-08	-8
mt_FpgOgg_wild_3	mt	FpgOgg	old	wild	3	mito	intergenic	29515730	5	5	1.69E-07	1.79E-07	-6.747146969
mt_FpgOgg_wild_3	mt	FpgOgg	old	wild	3	mito	CDS	2618732	1	1	3.82E-07	3.92E-07	-6.406713933
mt_FpgOgg_wild_3	mt	FpgOgg	old	wild	3	mito	intron	2224170	2	2	8.99E-07	9.09E-07	-6.041436117
mt_FpgOgg_wild_3	mt	FpgOgg	old	wild	3	mito	tRNA	143013	0	0	0	1.00E-08	-8
mt_FpgOgg_wild_3	mt	FpgOgg	old	wild	3	mito	rRNA	558921	0	0	0	1.00E-08	-8
mt_MSH1CS3246_mut_1	mt	MSH1CS3246	old	mut	1	mito	intergenic	87815517	81	92	1.05E-06	2.05E-06	-5.688246139
mt_MSH1CS3246_mut_1	mt	MSH1CS3246	old	mut	1	mito	CDS	7800192	11	11	1.41E-06	2.41E-06	-5.617982957
mt_MSH1CS3246_mut_1	mt	MSH1CS3246	old	mut	1	mito	intron	6500761	8	9	1.38E-06	2.38E-06	-5.623423043
mt_MSH1CS3246_mut_1	mt	MSH1CS3246	old	mut	1	mito	tRNA	438889	0	0	0	1.00E-06	-6
mt_MSH1CS3246_mut_1	mt	MSH1CS3246	old	mut	1	mito	rRNA	1737191	5	5	2.88E-06	3.88E-06	-5.411168274
mt_MSH1CS3246_mut_2	mt	MSH1CS3246	old	mut	2	mito	intergenic	106871607	87	120	1.12E-06	2.12E-06	-5.673664139
mt_MSH1CS3246_mut_2	mt	MSH1CS3246	old	mut	2	mito	CDS	9524525	8	8	8.40E-07	1.84E-06	-5.735182177
mt_MSH1CS3246_mut_2	mt	MSH1CS3246	old	mut	2	mito	intron	7934852	9	12	1.51E-06	2.51E-06	-5.600326279
mt_MSH1CS3246_mut_2	mt	MSH1CS3246	old	mut	2	mito	tRNA	519909	1	1	1.92E-06	2.92E-06	-5.534617149
mt_MSH1CS3246_mut_2	mt	MSH1CS3246	old	mut	2	mito	rRNA	2109995	4	9	4.27E-06	5.27E-06	-5.278189385
mt_MSH1CS3246_mut_3	mt	MSH1CS3246	old	mut	3	mito	intergenic	84359591	114	178	2.11E-06	3.11E-06	-5.507239611
mt_MSH1CS3246_mut_3	mt	MSH1CS3246	old	mut	3	mito	CDS	7556324	10	10	1.32E-06	2.32E-06	-5.634512015
mt_MSH1CS3246_mut_3	mt	MSH1CS3246	old	mut	3	mito	intron	6056738	6	6	9.91E-07	1.99E-06	-5.70092874
mt_MSH1CS3246_mut_3	mt	MSH1CS3246	old	mut	3	mito	tRNA	396731	1	1	2.52E-06	3.52E-06	-5.453457337
mt_MSH1CS3246_mut_3	mt	MSH1CS3246	old	mut	3	mito	rRNA	1604427	4	4	2.49E-06	3.49E-06	-5.457174573
mt_MSH1CS3246_wild_1	mt	MSH1CS3246	old	wild	1	mito	intergenic	108285314	32	32	2.96E-07	3.06E-07	-6.514278574
mt_MSH1CS3246_wild_1	mt	MSH1CS3246	old	wild	1	mito	CDS	9946068	3	3	3.02E-07	3.12E-07	-6.505845406
mt_MSH1CS3246_wild_1	mt	MSH1CS3246	old	wild	1	mito	intron	7672163	3	3	3.91E-07	4.01E-07	-6.396855627
mt_MSH1CS3246_wild_1	mt	MSH1CS3246	old	wild	1	mito	tRNA	556516	1	1	1.80E-06	1.81E-06	-5.742321425
mt_MSH1CS3246_wild_1	mt	MSH1CS3246	old	wild	1	mito	rRNA	1836916	3	3	1.63E-06	1.64E-06	-5.785156152
mt_MSH1CS3246_wild_2	mt	MSH1CS3246	old	wild	2	mito	intergenic	100103466	11	11	1.10E-07	1.20E-07	-6.920818754
mt_MSH1CS3246_wild_2	mt	MSH1CS3246	old	wild	2	mito	CDS	9133557	2	2	2.19E-07	2.29E-07	-6.640164518
mt_MSH1CS3246_wild_2	mt	MSH1CS3246	old	wild	2	mito	intron	7887040	3	3	3.80E-07	3.90E-07	-6.408935393
mt_MSH1CS3246_wild_2	mt	MSH1CS3246	old	wild	2	mito	tRNA	503829	0	0	0	1.00E-08	-8
mt_MSH1CS3246_wild_2	mt	MSH1CS3246	old	wild	2	mito	rRNA	1974759	0	0	0	1.00E-08	-8
mt_MSH1CS3246_wild_3	mt	MSH1CS3246	old	wild	3	mito	intergenic	122759514	18	18	1.47E-07	1.57E-07	-6.804100348
mt_MSH1CS3246_wild_3	mt	MSH1CS3246	old	wild	3	mito	CDS	11073841	0	0	0	1.00E-08	-8
mt_MSH1CS3246_wild_3	mt	MSH1CS3246	old	wild	3	mito	intron	8883479	0	0	0	1.00E-08	-8
mt_MSH1CS3246_wild_3	mt	MSH1CS3246	old	wild	3	mito	tRNA	612093	0	0	0	1.00E-08	-8
mt_MSH1CS3246_wild_3	mt	MSH1CS3246	old	wild	3	mito	rRNA	2346534	2	2	8.52E-07	8.62E-07	-6.064492734
mt_MSH1CS3372_mut_1	mt	MSH1CS3372	old	mut	1	mito	intergenic	67784920	76	105	1.55E-06	2.55E-06	-5.59345982
mt_MSH1CS3372_mut_1	mt	MSH1CS3372	old	mut	1	mito	CDS	5957496	10	11	1.85E-06	2.85E-06	-5.54515514
mt_MSH1CS3372_mut_1	mt	MSH1CS3372	old	mut	1	mito	intron	5165764	11	12	2.32E-06	3.32E-06	-5.478861916
mt_MSH1CS3372_mut_1	mt	MSH1CS3372	old	mut	1	mito	tRNA	329787	0	0	0	1.00E-06	-6
mt_MSH1CS3372_mut_1	mt	MSH1CS3372	old	mut	1	mito	rRNA	1468465	1	1	6.81E-07	1.68E-06	-5.774432287
mt_MSH1CS3372_mut_2	mt	MSH1CS3372	old	mut	2	mito	intergenic	54697782	72	97	1.77E-06	2.77E-06	-5.557520231
mt_MSH1CS3372_mut_2	mt	MSH1CS3372	old	mut	2	mito	CDS	4858808	6	8	1.65E-06	2.65E-06	-5.576754126
mt_MSH1CS3372_mut_2	mt	MSH1CS3372	old	mut	2	mito	intron	4185279	11	11	2.63E-06	3.63E-06	-5.440093375
mt_MSH1CS3372_mut_2	mt	MSH1CS3372	old	mut	2	mito	tRNA	268899	0	0	0	1.00E-06	-6
mt_MSH1CS3372_mut_2	mt	MSH1CS3372	old	mut	2	mito	rRNA	1140620	4	5	4.38E-06	5.38E-06	-5.269217724
mt_MSH1CS3372_mut_3	mt	MSH1CS3372	old	mut	3	mito	intergenic	52549906	53	61	1.16E-06	2.16E-06	-5.665546249
mt_MSH1CS3372_mut_3	mt	MSH1CS3372	old	mut	3	mito	CDS	4700678	5	6	1.28E-06	2.28E-06	-5.642065153
mt_MSH1CS3372_mut_3	mt	MSH1CS3372	old	mut	3	mito	intron	4128186	11	13	3.15E-06	4.15E-06	-5.381951903
mt_MSH1CS3372_mut_3	mt	MSH1CS3372	old	mut	3	mito	tRNA	259430	0	0	0	1.00E-06	-6
mt_MSH1CS3372_mut_3	mt	MSH1CS3372	old	mut	3	mito	rRNA	1104073	1	1	9.06E-07	1.91E-06	-5.719877104
mt_MSH1CS3372_wild_1	mt	MSH1CS3372	old	wild	1	mito	intergenic	47976153	9	9	1.88E-07	1.98E-07	-6.70333481
mt_MSH1CS3372_wild_1	mt	MSH1CS3372	old	wild	1	mito	CDS	4311765	1	1	2.32E-07	2.42E-07	-6.616184634
mt_MSH1CS3372_wild_1	mt	MSH1CS3372	old	wild	1	mito	intron	3603561	3	3	8.33E-07	8.43E-07	-6.074172425
mt_MSH1CS3372_wild_1	mt	MSH1CS3372	old	wild	1	mito	tRNA	227858	0	0	0	1.00E-08	-8
mt_MSH1CS3372_wild_1	mt	MSH1CS3372	old	wild	1	mito	rRNA	907355	0	0	0	1.00E-08	-8
mt_MSH1CS3372_wild_2	mt	MSH1CS3372	old	wild	2	mito	intergenic	66685459	8	8	1.20E-07	1.30E-07	-6.886056648
mt_MSH1CS3372_wild_2	mt	MSH1CS3372	old	wild	2	mito	CDS	5996552	0	0	0	1.00E-08	-8
mt_MSH1CS3372_wild_2	mt	MSH1CS3372	old	wild	2	mito	intron	4983567	1	1	2.01E-07	2.11E-07	-6.675717545
mt_MSH1CS3372_wild_2	mt	MSH1CS3372	old	wild	2	mito	tRNA	330576	0	0	0	1.00E-08	-8
mt_MSH1CS3372_wild_2	mt	MSH1CS3372	old	wild	2	mito	rRNA	1213548	0	0	0	1.00E-08	-8
mt_MSH1CS3372_wild_3	mt	MSH1CS3372	old	wild	3	mito	intergenic	41495435	6	6	1.45E-07	1.55E-07	-6.809668302
mt_MSH1CS3372_wild_3	mt	MSH1CS3372	old	wild	3	mito	CDS	3764843	1	1	2.66E-07	2.76E-07	-6.559090918
mt_MSH1CS3372_wild_3	mt	MSH1CS3372	old	wild	3	mito	intron	3129458	1	1	3.20E-07	3.30E-07	-6.48148606
mt_MSH1CS3372_wild_3	mt	MSH1CS3372	old	wild	3	mito	tRNA	208108	0	0	0	1.00E-08	-8
mt_MSH1CS3372_wild_3	mt	MSH1CS3372	old	wild	3	mito	rRNA	754128	0	0	0	1.00E-08	-8
mt_MSH1SALK046763_wild_1	mt	MSH1SALK046763	old	wild	1	mito	intergenic	71975145	14	14	1.95E-07	2.05E-07	-6.688246139
mt_MSH1SALK046763_wild_1	mt	MSH1SALK046763	old	wild	1	mito	CDS	6497522	3	3	4.62E-07	4.72E-07	-6.326058001
mt_MSH1SALK046763_wild_1	mt	MSH1SALK046763	old	wild	1	mito	intron	5457626	3	3	5.50E-07	5.60E-07	-6.251811973
mt_MSH1SALK046763_wild_1	mt	MSH1SALK046763	old	wild	1	mito	tRNA	377111	1	1	2.65E-06	2.66E-06	-5.575118363
mt_MSH1SALK046763_wild_1	mt	MSH1SALK046763	old	wild	1	mito	rRNA	1497438	1	1	6.68E-07	6.78E-07	-6.168770306
mt_MSH1SALK046763_wild_2	mt	MSH1SALK046763	old	wild	2	mito	intergenic	53349307	8	8	1.50E-07	1.60E-07	-6.795880017
mt_MSH1SALK046763_wild_2	mt	MSH1SALK046763	old	wild	2	mito	CDS	4842792	0	0	0	1.00E-08	-8
mt_MSH1SALK046763_wild_2	mt	MSH1SALK046763	old	wild	2	mito	intron	4146007	3	3	7.24E-07	7.34E-07	-6.13430394
mt_MSH1SALK046763_wild_2	mt	MSH1SALK046763	old	wild	2	mito	tRNA	272058	0	0	0	1.00E-08	-8
mt_MSH1SALK046763_wild_2	mt	MSH1SALK046763	old	wild	2	mito	rRNA	1046420	0	0	0	1.00E-08	-8
mt_MSH1SALK046763_wild_3	mt	MSH1SALK046763	old	wild	3	mito	intergenic	70119345	21	24	3.42E-07	3.52E-07	-6.453457337
mt_MSH1SALK046763_wild_3	mt	MSH1SALK046763	old	wild	3	mito	CDS	6314390	2	2	3.17E-07	3.27E-07	-6.485452247
mt_MSH1SALK046763_wild_3	mt	MSH1SALK046763	old	wild	3	mito	intron	5257332	1	1	1.90E-07	2.00E-07	-6.698970004
mt_MSH1SALK046763_wild_3	mt	MSH1SALK046763	old	wild	3	mito	tRNA	364932	0	0	0	1.00E-08	-8
mt_MSH1SALK046763_wild_3	mt	MSH1SALK046763	old	wild	3	mito	rRNA	1452143	2	2	1.38E-06	1.39E-06	-5.8569852
mt_Pol1A_wild_1	mt	Pol1A	old	wild	1	mito	intergenic	51422086	13	13	2.53E-07	2.63E-07	-6.580044252
mt_Pol1A_wild_1	mt	Pol1A	old	wild	1	mito	CDS	4739937	0	0	0	1.00E-08	-8
mt_Pol1A_wild_1	mt	Pol1A	old	wild	1	mito	intron	3858564	0	0	0	1.00E-08	-8
mt_Pol1A_wild_1	mt	Pol1A	old	wild	1	mito	tRNA	262506	0	0	0	1.00E-08	-8
mt_Pol1A_wild_1	mt	Pol1A	old	wild	1	mito	rRNA	978383	1	1	1.02E-06	1.03E-06	-5.987162775
mt_Pol1A_wild_2	mt	Pol1A	old	wild	2	mito	intergenic	52597610	11	11	2.09E-07	2.19E-07	-6.659555885
mt_Pol1A_wild_2	mt	Pol1A	old	wild	2	mito	CDS	4788949	1	1	2.09E-07	2.19E-07	-6.659555885
